Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.8235603788412003,1.1806506565129942,0.5809085049897507
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.8268258082519973,2.402789287885453,1.400749740195758
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.7398428489199274,1.2195719360423265,0.40217267327468104
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.8090293279887454,1.3303620317567675,0.4595016293730747
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.7185830131254651,1.1928019343098204,0.3709000256215985
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.8522679919419216,1.4078081762620753,0.44024587479053023
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.4964098062404942,2.765904482013919,0.6005191299998277
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.2722600951205045,1.8837162456141452,0.8364735716724394
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.103651383972923,1.8170033344365941,0.5380003671847325
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.47016368137367487,0.7452212528872746,0.27049712470385867
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.9803047135210288,1.439109967563588,0.6294419903147065
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.1973688223648145,1.9040217006366968,0.7017036756998231
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.186810117643416,1.666083482913459,0.6777044220139194
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.3893412028126542,2.120104013158999,0.8818634150926342
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.2859196105506356,1.8656290099352715,0.8944743042411238
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.8685525937461257,1.5387728976944852,0.41483174704562853
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.345645647222333,3.9969009919555023,1.1883406574806197
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.2333632443758156,1.7513300390010083,0.8859086912480723
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.5050907560661166,0.8582966370771579,0.2844598352273816
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.6007661171725197,1.1155097189777303,0.2511193810022549
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.0939273596009789,1.846260939736836,0.6382259995790651
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.8454313226753529,1.4750907394507173,0.4436762873124535
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.4293116784698034,1.903248877676846,1.0419498230603168
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.4291276248354898,2.2728252598750913,0.8221638992324927
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.676807183564249,1.0955819720339757,0.344054432592198
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.791065910620602,1.2622379924202418,0.4958590648078122
Fiji,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,3.335320823541037,6.157297610111951,1.4673476699484067
France,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.8844454799012239,1.338386768868812,0.581293125373472
Micronesia (Federated States of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,3.344144059485431,5.916940106857721,1.5285515582522828
Gabon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.0455687407292562,1.6458034498870413,0.5668128486416906
United Kingdom,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.5416585924503783,2.006880351908178,1.1577048869395603
Georgia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.1557366080001934,3.9392512863129694,0.9965651627608619
Ghana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.59442747682279,1.033726909540784,0.34378322331571054
Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.105375081892474,1.8280585632828423,0.5839996054503896
Gambia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.7359780862668578,1.1915531435180204,0.41397522203311793
Guinea-Bissau,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.8674328258305649,1.442457120919791,0.4755002574943374
Equatorial Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.4827673810277942,0.8281889390079918,0.2574749974991072
Greece,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.1236223345104692,1.7968266645107684,0.6934645504662512
Grenada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.5655274510291393,3.8328605179211257,1.6596146621202446
Greenland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.366826197072409,3.6291795665181557,1.519737149353195
Guatemala,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.2948623422768084,2.175615378024486,0.7305908378010518
Guam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.677722426687872,2.66311205850569,1.0064029188730204
Guyana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.871085241327479,2.9029933641716075,1.146840732733044
Honduras,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.7092343442721134,2.8717819822819486,0.8987563552046915
Croatia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.885633889639811,2.7677622904869055,1.2278704753186418
Haiti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.6695969544090827,2.728544790381168,0.9391924959447694
Hungary,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.5710673800968182,2.573455734178938,0.8581307790261109
Indonesia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.154674778150375,3.5451259391528427,1.1953733303779759
India,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.218691908720994,3.2362993451679,1.4129676648575833
Ireland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.7335193389949674,1.0421805326081683,0.5312364996766926
Iran (Islamic Republic of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.5662439099502747,1.016062604698855,0.2664917267189235
Iraq,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.9050018637202005,1.729554796962935,0.36513317658530436
Iceland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.544460223782284,0.8269049873100612,0.35360792006715486
Israel,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.1271118571433165,1.5059923065672065,0.7797292282613488
Italy,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.7515870845395601,1.2420519627037936,0.42620877316174166
Jamaica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.6303776665290342,2.3646468850187548,1.027044114643902
