Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,9.626707125677301,16.165729615849944,5.417684050205876
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,20.69764708757136,33.26007705697155,11.56399612103156
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,21.970143135947424,45.03594896027016,8.782608105545078
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,21.237771295920368,42.5658499609783,8.251447799874336
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,25.423690837506246,51.037636797842715,10.651581524257969
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,24.917653274887247,48.77629844176566,10.857950672817056
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,14.565367573977467,25.265765184954017,7.5583434426369465
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,12.922905718588503,21.74068043714486,6.847926501059339
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,28.68337673428265,54.573256847900275,12.537544411898692
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,18.162652324739735,32.37691477228523,8.983219138391739
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,17.861839667351266,30.079390727087755,9.428795151093022
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,18.32334857161357,31.041174876173944,10.145765999832715
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,9.336946632848921,16.0309736529902,5.156271220401739
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,18.540171817017978,30.668925641179428,10.236791119197195
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,18.45789556724277,30.097231163900183,10.691842908073964
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,25.323251172792755,49.64062138383432,10.125802971419429
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,21.874387235783274,39.9988437874582,10.607345858110719
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,14.414816682320572,23.617910458899786,8.179512207179345
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,22.725258375209783,41.09861872440483,10.59517083108735
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,9.11476311460958,17.22998835426588,4.565085966497886
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,21.10345052448523,36.684545358782,11.160293461577647
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,31.790557631068186,63.400356947829344,13.080339866916303
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,14.272515974993746,24.088510402296315,8.175135072357778
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,20.300814715064213,34.63563912454554,10.871947354843726
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,26.40568810649995,48.350536061237584,12.305066976118503
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,15.889248572691166,25.788272035290138,9.138144979075605
Fiji,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,15.566238145991315,29.927404011382993,7.00886978567584
France,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,13.945544708802093,23.24443343399954,7.933285189969715
Micronesia (Federated States of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,24.08326244855327,50.50446948473759,8.89574973070253
Gabon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,23.995522413831825,44.901939754354174,10.889098701637215
United Kingdom,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,16.514784282518697,26.636803523913485,9.637593570808852
Georgia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,31.19745214514637,53.46653754978145,15.26649031655112
Ghana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,25.79819696906029,48.567502205625054,11.47231166047841
Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,30.911446991476783,66.04015656982328,12.080397153402975
Gambia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,23.760539566159316,46.34093752327347,10.253417000883985
Guinea-Bissau,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,30.270513103807293,61.64103374245957,12.756790262490517
Equatorial Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,13.754512787746947,28.16937889044559,5.788705355894077
Greece,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,11.461885345521363,19.822565129475723,6.309837166305815
Grenada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,22.01919716680609,38.365080543061055,11.038502257806098
Greenland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,23.20871316466885,40.17349633130321,12.21937708827148
Guatemala,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,31.851014955267427,57.18060903773797,14.545620604052733
Guam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,15.571966750145725,27.583967143198254,7.5258902506309475
Guyana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,34.757387770276075,61.91330971737093,15.966929931800173
Honduras,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,36.82383952898475,63.48852720141012,18.22992701821801
Croatia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,19.45286884062046,32.54126663155432,10.748079571772768
Haiti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,33.047195420422085,66.24286138688029,12.208885181501667
Hungary,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,28.3590893789261,46.843037011647276,15.736215617044861
Indonesia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,31.598590871164273,55.297767755558986,15.478862544566107
India,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,23.628570800627436,43.35550153418496,11.200485760063263
Ireland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,8.637157645531186,14.350220297022195,4.761314251739552
Iran (Islamic Republic of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,7.934728732361669,14.485090268256837,4.000700732095077
Iraq,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,7.586360500130097,14.560081737925016,3.3941173467555665
Iceland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,6.387944307605129,10.852101621742912,3.4650064394975497
Israel,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,7.64966245157291,12.94206699884094,4.27697304079369
Italy,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,13.420226852728439,23.020907413677723,7.479519546372559
Jamaica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,11.453437115994882,20.692728038149088,5.465429915429858
Jordan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,6.193634218335191,11.499185335937165,3.194285255946084
Japan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,13.037133887242836,22.585240310552166,7.23920497289704
Kazakhstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,27.662668548313704,49.06890442106943,13.911966199250758
Kenya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,29.476221112176862,58.096500892547745,13.055484102783492
Kyrgyzstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,24.940331073039783,44.822782192682666,11.849170433661827
Cambodia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,43.41807106208391,79.43897032251944,20.279993386282328
Kiribati,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,32.30304154839488,68.40382418157802,11.304073115553186
Saint Kitts and Nevis,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,23.50799961834791,40.85099269159001,12.043483039063432
Republic of Korea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,14.029599132648869,24.202948229877457,7.843529536905013
Kuwait,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,4.576749550514494,8.345606881163024,2.3008410241608512
Lao People's Democratic Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,21.740920069162993,41.55281235695604,9.684921206387797
Lebanon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,8.820403135713354,16.728865355845848,4.289170894151403
Liberia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,27.386957916900343,56.035280971665436,11.022503124538845
Libya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,11.113450640572307,21.569177458067934,5.151660934506107
Saint Lucia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,19.654629861410243,34.311839475702314,10.035711772825044
Sri Lanka,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,14.064267328107745,25.197049417131375,6.755136539639426
Lesotho,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,32.25337487616711,64.85537715541578,13.62454193281753
Lithuania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,29.722730217337876,50.886770099142296,15.937522391284572
Luxembourg,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,12.133906852766614,20.104388045935494,6.794009714040473
Latvia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,22.182951211019667,38.51964099893477,12.109901011426555
Morocco,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,11.73576949925513,21.058539591337954,5.860847134664077
Monaco,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,16.44608570858925,29.229010525805904,8.784550611842803
Republic of Moldova,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,46.36079880187709,78.54344408989762,24.788408512879673
Madagascar,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,23.726390489879197,45.54280137018686,10.175935332891784
Maldives,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,6.747255942221677,12.890854283585513,3.2530713541998
Mexico,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,31.321929245217046,54.15642257506492,16.477062185233432
Marshall Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,22.68393664607953,47.349984356740926,8.046857389392034
North Macedonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,14.99069092102998,26.542716194376606,7.632896512053235
Mali,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,29.782011670683122,59.52006879036156,11.234913216369641
Malta,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,10.08896403312564,16.756713576336043,5.53883907997942
Myanmar,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,33.06754015494846,64.03881640239945,14.419268376701273
Montenegro,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,13.51579777227725,23.011114769702264,7.504752463346524
Mongolia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,44.328034348766145,81.81326525091319,21.27000754597231
Northern Mariana Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,26.960231704074666,46.71186185867897,14.245340671293846
Mozambique,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,26.677885147004666,53.454833027078344,11.41208822413276
Mauritania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,19.9596829195599,38.89014291196831,8.418198515784397
Mauritius,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,18.270620487218412,32.70182614797885,8.883520179956813
Malawi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,26.397476660776896,50.97625754547001,11.831306588656576
Malaysia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,16.136481044090836,27.557783819113997,8.544936685404739
Namibia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,21.755339488379985,40.85061388805476,10.09813677981358
Niger,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,30.38493930519436,60.73062382981445,12.016435055088987
Nigeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,28.47660323405099,58.15081835748276,11.402123461225745
Nicaragua,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,20.03979230491356,34.27466214049221,10.354153485454582
Niue,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,22.59661452402235,39.338832840535694,11.36994512519109
Netherlands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,11.158969935846388,19.116092432208188,6.2496723603402575
Norway,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,7.594841156775183,13.22915458054552,4.1379389374952
Nepal,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,27.14382185158841,51.54775110070376,12.514408630331424
Nauru,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,20.256136496649084,43.27136308119218,7.109916559641647
New Zealand,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,8.380538045506501,14.651517086767095,4.597640054501519
Oman,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,5.491230358056926,11.217653326756045,2.471997755420795
Pakistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,24.209667131474212,48.58027974397802,10.250848863640963
Panama,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,12.927931960860553,22.282522664752108,6.53943420524435
Peru,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,18.491546362385638,33.13244729787772,9.343035870147201
Philippines,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,15.906009812562488,29.74782527704665,7.372670431216737
Palau,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,25.199344360027872,49.37997035762223,10.863882030787682
