Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Canada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.5858656078141081,0.9855576060294025,0.2852937890967941
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.12297109679965679,0.23723200674912426,0.05350844241783293
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.3008659455994043,0.5191425778766183,0.14542906260706945
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,32.18479747821898,80.5686961986886,9.241622555412581
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,71.56509225535753,169.20856407381314,21.797351780162813
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,57.91184805659887,155.9561794906751,14.290335636471552
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,50.57768926148902,118.46691699744262,13.94413790995987
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.106473104230585,2.4277441630463983,0.3803959708846215
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.3920587813356528,0.7137868006083781,0.17626034786595676
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,40.28280177660127,84.93042922521721,15.303269505301378
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,4.405622176655783,9.030402778179095,1.9204058627983291
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.25668915267793674,0.4956467840730786,0.11539838548552879
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.25615543150634046,0.44314554129813777,0.1171566769724269
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.06141849513129723,0.12152410730889601,0.02178871441604887
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.0964144077122553,2.0362233010178863,0.49645573222347916
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.1695708080868204,0.3037765751660097,0.07799703094946663
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,36.630585208018545,90.0671702134965,13.082381839771235
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.35380088188383196,0.7048089228868328,0.14987798625870022
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.10047416454453822,0.18404055760550386,0.046092949185888646
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.8671366282903328,2.0772330642923174,0.2991780848815035
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,3.521197540954604,7.424709398445575,1.3005185320053625
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,2.6059394010500325,5.166462742695477,1.0953221285957886
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,91.03532687895438,193.9685246275737,36.024678327339586
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.029159174072524018,0.054099226432048474,0.01329603688135679
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.053199733985158,2.0762903307248592,0.44190606730752374
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,87.67422045730049,182.38121827424035,32.48694868569492
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.041034667939807486,0.07338354477293677,0.01780264136015462
Fiji,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,3.963352177835447,7.965184716376268,1.6532970772746305
