Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,34.05962171037591,49.11978952518163,22.886571419454295
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,73.11315124177946,104.42915091028894,48.095330006683795
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,212.27788002070045,294.7078830364235,142.42963187627558
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,174.6780760037534,246.541833442724,123.64594423625813
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,154.15350954666306,220.29737817512375,109.17720102048018
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,140.5875620368429,206.06462811323195,94.60415128854576
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,185.52881757030892,280.3251528418764,114.2016553875261
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,70.01285163592945,108.56284921829211,43.395625636513444
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,244.27732048946834,358.6968723974445,162.2670220424437
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,173.7565429846828,252.1562055604622,114.17617166055942
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,63.51108863105027,100.33274758297354,37.622674611744976
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,156.91959101759275,256.30503864288056,92.41392063638936
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,32.67625813330507,47.82026528548965,21.773679173878023
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,88.98196296249974,145.20152630673246,52.40719631011029
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,56.77836256012946,80.80311591414646,37.9000533999309
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,198.11862704963707,290.1813997510864,133.87444544891042
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,253.6394072161506,383.4344380486457,154.32300101209253
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,49.947946066471104,71.67143776998827,33.715801510808205
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,164.33764925976868,242.45713324812812,102.72960300978247
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,64.18697893973284,101.92481089874822,37.37155733644964
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,95.98370167923527,140.55973083629127,63.01280441833826
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,134.0066061677377,199.70352231460302,85.07262011158892
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,46.814185667608655,66.64659927831063,31.964313879468037
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,90.46418956321176,151.11248312144315,52.64141685715658
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,203.0572582772789,283.56550667807204,142.23618238300156
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,46.645536130367304,68.38521864947576,29.41291340063434
