Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,22.53316729883173,31.61529410781174,15.331725686747616
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,32.851904089169125,44.42132332998772,23.507050400568787
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,44.67238520137996,68.65311595616788,27.553726824937325
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,42.606097663424144,64.3172678108315,26.85729490258353
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,41.5910045093509,63.79921695170046,25.36773713772504
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,38.859921553152176,60.743951006814285,22.74960117327644
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,28.357368265279465,43.654211622930085,17.1572139724064
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,26.58690351804042,38.65251477172671,17.421862933549562
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,42.8545504399085,66.53515490841883,25.68605087826907
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,25.905329820953195,39.270248210715145,16.079622861226554
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,26.58571185103303,39.50668388278894,16.603006948520918
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,28.34588925311566,42.668564258727876,18.05864690768153
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,24.537937701428866,34.41864381000801,16.802549456431503
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,33.558145414881565,49.29639966807716,21.02347500546061
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,35.144197575960284,49.54268392198568,23.6939985335689
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,42.902293782234075,67.79557179420273,25.82193733575493
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,52.251912398783965,78.14681442093153,33.004136997911914
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,30.754119849563637,44.034921967154155,20.57345578860707
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,35.84251602954807,54.679767326715286,21.63004019128253
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,18.16920514949867,29.022251022056142,10.395610855952395
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,31.181963362894155,47.15239735346201,19.55843974929126
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,45.404695871993454,75.30212552960654,25.748465199366994
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,31.494330421139942,42.984788822192314,22.75862119348569
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,35.06009546913447,54.131183223799034,21.52766910690038
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,45.59025375398304,67.78963937634803,29.63800316529699
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,26.143131488377264,37.95164337289821,16.911320819228447
