Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,7.6923107800872375,12.94261381585028,4.449275759932007
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,12.500364209438569,17.88322850695781,8.210886650626943
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,33.74306229030536,54.38355500783783,19.64175708398236
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,30.083456695877913,47.57188851909837,17.582500910684733
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,27.014679131796935,42.44667314865247,15.577339702347695
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,24.300545436827456,37.71875736130111,14.258827266445394
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,24.207568562364234,38.27698821968516,14.056674129127805
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,11.371518724479852,17.890482051956432,6.8083206387299695
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,51.70492572114224,82.77109310362985,29.89044614610263
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,29.267255730687356,44.78064864247973,17.39455109443422
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,10.444821975912046,16.66276880075967,6.04837336151813
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,21.13432899812382,35.339188959846744,11.726832035930592
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,7.961522533667058,13.356908813692511,4.705750023780127
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,26.918216532986982,54.31549554996847,11.321673542773635
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,12.946532595602982,21.306390791559085,7.607487503199051
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,37.102826597044334,59.52323700278763,21.627530985531546
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,43.01658206527386,69.64039519071666,24.69008429031899
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,10.746585582448523,17.67242427670317,6.218252464302034
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,27.311171017453432,42.01032045834237,16.893537718341378
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,10.267190635081409,16.95101310076666,5.755076413742976
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,16.387089543769047,24.832250570672063,10.03530366452664
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,22.614040711218447,37.79160373474755,12.13280121551475
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,10.980089041529112,17.99378595097071,6.671797338316634
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,28.801502351184684,59.761092468495704,12.509432393435137
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,41.29529456323595,65.0559811641799,25.0449709190711
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,10.622552603638873,17.75757122278782,6.035428311274297
Fiji,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,18.43033213229115,30.532446932899123,10.118683580093217
France,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,9.976719052111148,16.622986382526335,5.767619880341025
Micronesia (Federated States of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,24.19486536382148,38.5020487759636,14.23688822434798
Gabon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,39.69364503265481,62.76895566440326,24.083725255788146
United Kingdom,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,11.501733536448626,18.244591027029074,7.088455213147126
Georgia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,21.411213117208334,32.928030990545416,12.343594682096791
Ghana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,26.58664392473756,42.05052965923,15.547027480439484
Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,101.22108883979747,163.4235888214078,56.87673692136163
Gambia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,25.469026984645218,39.53478925261644,15.019046274083317
Guinea-Bissau,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,35.893702847864674,56.452538628488135,20.78280891268279
Equatorial Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,53.3921670963046,88.27760805432618,29.954579157625258
Greece,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,9.69223309465272,16.69740888783509,5.272515286514037
Grenada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,32.21553516803771,51.06755701704197,18.74020479724204
Greenland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,15.7745148658851,24.52834652162408,9.133610889553069
Guatemala,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,20.042636379965654,31.936741626942027,11.409411103192078
Guam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,29.864253020732427,46.897515307992315,17.59751827434792
Guyana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,22.13117972212308,35.95627791943219,12.69234782496328
Honduras,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,20.97171276104325,31.781220258326744,12.733716816112084
Croatia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,30.37970057594345,61.5043061539041,12.84160894802125
Haiti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,72.63164543053955,115.68064607646467,43.49629220238959
Hungary,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,17.381132531088408,29.52011449056375,9.595961532429639
Indonesia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,33.71867485700851,51.3988716352361,20.679673614551664
India,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,34.02494456381975,52.80490683919918,20.44516483465356
Ireland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,6.972665243148864,12.223214319823171,3.897800304981091
Iran (Islamic Republic of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,16.01905243132498,25.947108972683154,8.799951280987738
Iraq,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,16.76140573502272,26.30988056520164,10.089524527223103
Iceland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,5.652844788562717,10.142914804934989,2.9778465740098587
Israel,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,7.06095904178086,12.054118930998015,4.077897079446808
Italy,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,9.444080195248238,15.999923609375,5.348046294345348
Jamaica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,24.432481100298343,39.76483544869889,13.899584482527974
Jordan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,19.215964252310695,31.2414662747027,11.101693443965694
Japan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,8.735877571493392,12.82579278510443,5.597245360203015
Kazakhstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,17.122616093765977,26.19565540241201,10.306624977983004
Kenya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,23.46218253295244,36.32966017781865,14.668492651778148
Kyrgyzstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,14.006812205347732,21.446732280500925,8.241637181392583
Cambodia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,23.303418428869172,37.361854751456626,13.728949742228602
Kiribati,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,31.615162401043367,51.334974734184215,17.837729988278856
Saint Kitts and Nevis,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,33.28673546323994,52.68044774938759,19.365202754777346
Republic of Korea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,9.00632794767156,13.066939505842619,5.793307491503755
Kuwait,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,3.995118084155633,6.685744397133245,2.24833554923512
Lao People's Democratic Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,26.993719815001132,42.57797662506424,15.493867333689472
Lebanon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,10.239410081911952,16.63149325813981,5.87058825325845
Liberia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,28.94718962051143,46.565809635197105,16.801570659365375
Libya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,8.762792800208937,14.84348014616887,4.7201837504166315
Saint Lucia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,27.634180822293263,44.747102762543854,15.472619339187602
Sri Lanka,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,18.83486373113936,31.34527785564214,10.120485394103754
