Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,15.84748236906905,19.92344937410657,12.690253920013841
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,16.270689181299637,21.48839467771115,12.810069830018506
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,55.16755284505032,107.67642499891093,26.589066167129893
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,42.00221484364795,78.66518218266368,22.17717959411516
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,32.32097206088647,60.08793001032334,16.011425304625057
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,23.938057386287756,44.335232863391944,12.569148460077114
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,25.238315550546318,33.156555574116375,18.761460903450917
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,16.779329314194506,27.61079457142331,10.600782035598627
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,35.47418159664989,68.71428662283445,17.868427355898955
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,28.512299688200848,44.156819293780664,18.648814523630843
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,15.700839996657411,24.266503669849634,10.138576062043597
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,26.682629269207702,33.732628428499744,20.358081492490356
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,12.801727605605949,16.663920018925953,9.820316806170563
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,21.74261148576965,28.219913740270393,16.40851371217665
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,23.521003794600038,28.90809347890773,19.3319008740799
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,25.064732219540765,48.59918122070751,12.645133214718461
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,20.787265272101433,34.263191554121704,12.418565234872586
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,28.46620071959232,35.68489591446502,23.093363085699103
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,24.445035692339417,49.031038161307606,12.161670638466587
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,27.20959687884847,51.52302826806775,14.295158651186362
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,20.979632524169386,34.650901589525745,13.769860690313893
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,36.89705581432268,70.1773484651612,18.54792326995348
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,21.147162398321925,25.790806775116994,17.361812713991526
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,17.98520278897885,24.07814863418267,13.374599154449927
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,23.61674958158152,45.435501946757135,11.674625119869459
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,12.27141912133697,16.832680509135365,9.154802228974017
Fiji,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,23.320016934799956,39.41204067046563,13.328697279449518
France,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,20.885066032230633,25.387084057459795,17.205300783378114
Micronesia (Federated States of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,14.756521651092893,22.04245909073159,8.97984962863415
Gabon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,25.783994759256142,49.408891996827585,13.335938541436784
United Kingdom,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,37.901450338192504,44.51226931670378,32.878911912266005
Georgia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,15.275389788822865,21.28094344642004,11.031555881609076
Ghana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,35.60722581829309,60.044965047662714,20.684449714561023
Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,30.252448661851393,60.19671550649288,14.301425202419283
Gambia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,39.84017502760433,79.37097158214273,20.57284936658436
Guinea-Bissau,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,40.03088936631493,76.28372546254501,20.30330363781046
Equatorial Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,15.853237496517197,33.38000787752897,7.2429565331232775
Greece,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,35.00913985597679,41.326103557240806,30.015076468759315
Grenada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,22.433416813863627,33.02757335351687,15.433512615427793
Greenland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,21.41310904493908,34.23545931166065,13.527944127660188
Guatemala,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,26.818252510915137,41.72316855226573,16.93995200781859
Guam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,5.8225087564289915,11.379601883960284,2.7308023905312515
Guyana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,32.31605017134122,55.887709703370845,17.846547510117514
Honduras,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,19.41174551917391,37.420303870624394,9.782682999247628
Croatia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,11.773877679609834,16.77476151260473,7.794371863873429
Haiti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,27.739150578032863,54.15451996868114,13.401990502028582
Hungary,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,16.828331037790747,24.067127040599217,11.483975905450864
Indonesia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,13.982782965948703,25.3617790462558,7.427321163477143
India,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,31.245120058684442,58.26699715765875,16.05597185543711
Ireland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,23.32260129177388,28.03214712580676,19.386753544338855
Iran (Islamic Republic of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,15.750347368439689,26.23518851145358,9.923794095316017
Iraq,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,18.725397883365883,39.13822262762844,8.782885689175517
Iceland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,19.687909468177935,23.98836123733569,16.085588560241106
Israel,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,13.564012900974625,16.85590679323206,11.264526692276592
Italy,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,16.73171683071003,21.303877345072685,13.186715319213668
Jamaica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,21.477237594245132,39.39313069498579,11.068426095417806
